"resource","version","source","category","source_object","rdata_path","rows","columns","serialized_bytes","md5"
"chem_props","3.0.7","bundled","core","chem_props","data/chem_props.rda",289754,11,12012876,"a87e3ac024a4b526a1492e2a786a3fd1"
"source_df","3.0.7","bundled","core","source_df","data/source_df.rda",1051927,8,9122600,"916e2d41d4b265a8b48232c8efb8a663"
"analyte","3.0.7","bundled","core","analyte","data/analyte.rda",463257,2,1204836,"3bbfa9f60ce096a35c03ef95997fd2e9"
"analytehaspathway","3.0.7","bundled","core","analytehaspathway","data/analytehaspathway.rda",1355476,3,1597020,"d52f64d24d5ca2c2ed3e5c7ec3181610"
"pathway","3.0.7","bundled","core","pathway","data/pathway.rda",122936,5,1930672,"90207c7b5b389b4de48a3f69f49ce00d"
"ramp_db_metadata","3.0.7","bundled","core","ramp_db_metadata","data/ramp_db_metadata.rda",9,NA,1368,"a2739146ecd68512acbc27b2ff9b95d2"
"ramp_hmdb","3.0.7","bundled","topology","RAMP_hmdb","data/RAMP_hmdb.rda",48671,NA,1294408,"00530e1d781c0cb348c1a7ce28060b58"
"ramp_kegg","3.0.7","bundled","topology","RAMP_kegg","data/RAMP_kegg.rda",325,NA,314904,"7c0a75a53d1c8a542dcb632157d604f0"
"ramp_reactome","3.0.7","bundled","topology","RAMP_Reactome","data/RAMP_Reactome.rda",2460,NA,2972092,"44467aa8f867a7226df8150556a8ad8c"
"ramp_wikipathway","3.0.7","bundled","topology","RAMP_wikipathway","data/RAMP_wikipathway.rda",685,NA,236856,"c97ecbd5d1330f5580d38f4a0cff6a06"
"hmdb_db","3.0.7","bundled","legacy","HMDB_db","data/HMDB_db.rda",26538,37,9204653,"9cb1447f697db32b5f7f3f859e94e6a9"
"chebi_db","3.0.7","bundled","legacy","Chebi_db","data/Chebi_db.rda",46297,37,10410280,"4254dd1ec2bd9d434d0daab4f4867baf"
"lipidmaps_db","3.0.7","bundled","legacy","Lipidmaps_db","data/Lipidmaps_db.rda",9493,37,2588253,"9984f1e6d1ca4eef858378a30a352bde"
"gnps_db","3.0.7","bundled","legacy","GNPS_db","data/GNPS_db.rda",489,37,96626,"3b5ff60e6b5c493eb5b73e0216d2ed62"
"filtered_fmp10","3.0.7","bundled","legacy","filtered_fmp10","data/filtered_fmp10.rda",4166,9,71479,"39af800b4d76fb707995e9d787e9f441"
"smiles_features","3.0.7","bundled","structure","smiles_features","data/smiles_features.rda",284818,36,4027336,"82678726add415f9ee0d5b612b89c404"
