# Generated at 2024-07-17 13:17:15. For help see https://bit.ly/3Bzs6Z4
# URL: https://metaspace2020.eu/dataset/2020-12-01_22h59m24s/annotations?db_id=22&ds=2020-12-01_22h59m24s&fdr=0.5&sort=-fdr_msm
"group","datasetName","datasetId","formula","adduct","chemMod","ion","mz","msm","fdr","rhoSpatial","rhoSpectral","rhoChaos","moleculeNames","moleculeIds","minIntensity","maxIntensity","totalIntensity","isomers","isobars","offSample","rawOffSampleProb","isobarIons"
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C8H8N4O3","M+Na","","C8H8N4O3+Na+","231.04886079899995","0.0020509318","0.5","0.0021151408069348004","0.9795243587131152","0.9899122807017544","Aminofurantoin","HMDB0060589","0","157326.796875","19530998","1","1","false","0.0002943901636172086","C8H16O2S2+Na+"
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C11H16N2O3","M+Na","","C11H16N2O3+Na+","247.10531305499995","0.0020587882","0.5","0.002136381796369191","0.9673027266818038","0.9962546816479401","Butalbital","HMDB0014386","0","184103.984375","23052432","1","0","false","0.0006426117033697665",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C5H10N2O","M+Na","","C5H10N2O+Na+","137.06853362299998","0.0020675007","0.5","0.0021169555250454557","0.9849190075996962","0.9915929203539823","3-Amino-2-piperidone, N-Mononitrosopiperazine","HMDB0000323, HMDB0061162","0","182692.546875","56056608","2","0","false","0.0000086278787421179",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C12H13Hg2O","M+Na","","C12H13Hg2O+Na+","588.017520719","0.002071289","0.5","0.004654398442820516","0.45052572912414324","0.9877739331026528","m-Hydroxydiphenyldimercury(1+)","HMDB0031807","0","224827.21875","46918620","1","0","false","0.0014996427344158292",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C11H18","M+Na","","C11H18+Na+","173.13007125899998","0.0020720153","0.5","0.002151031841534169","0.9664874116228482","0.9966666666666667","Cystophorene, (E)-4,8-Dimethyl-1,3,7-nonatriene, 4-Methyl-2-methylene-1-(1methylethylidene)-cyclohexane","HMDB0030944, HMDB0035792, HMDB0061811","0","168861.5625","29133284","3","0","false","0.0004475995374377817",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C4H10S","M+Na","","C4H10S+Na+","113.03954217299999","0.0020749953","0.5","0.0021729424408216246","0.9718254956666406","0.9826086956521739","2-(Methylthio)propane, 2-Methyl-1-propanethiol, 1-Butanethiol, Diethyl sulfide, 1-(Methylthio)-propane","HMDB0040576, HMDB0031245, HMDB0031322, HMDB0031666, HMDB0061871","0","273352.8125","99680392","5","0","false","0.00008323886140715331",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C2H4OS","M+Na","","C2H4OS+Na+","98.98750660099999","0.0020767814","0.5","0.002174305499214026","0.9661532083388576","0.9886082218920258","Ethanethioic acid","HMDB0031188","0","230356.21875","73046352","1","0","false","0.000022667445591650903",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C20H14O7","M+Na","","C20H14O7+Na+","389.063173471","0.0020771571","0.5","0.0022460174300150465","0.9350564563614943","0.9890503875968992","Daphnoretin methyl ether","HMDB0039046","0","224575.734375","49899144","1","0","false","0.00006939141894690692",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C10H8O","M+Na","","C10H8O+Na+","167.04673555899998","0.0020838776","0.5","0.002165295409310394","0.9648107873043391","0.9975","Naphthalene epoxide, 1-Naphthol, 2-Naphthol, (Z)-2-Decene-4,6,8-triyn-1-ol, (1S,2R)-Naphthalene 1,2-oxide","HMDB0006215, HMDB0012138, HMDB0012322, HMDB0031001, HMDB0060301","0","167727.4375","35313456","5","0","false","0.0000705484562786296",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C2H4N4O2","M+Na","","C2H4N4O2+Na+","139.02264605099998","0.0021064624","0.5","0.002156552970863386","0.9840519038152113","0.9926029962546816","Diazenedicarboxamide","HMDB0029616","0","177867.59375","44494984","1","0","false","0.000016140320440172218",""
