# Generated at 2024-07-17 13:17:38. For help see https://bit.ly/3Bzs6Z4
# URL: https://metaspace2020.eu/dataset/2020-12-01_22h59m24s/annotations?db_id=24&ds=2020-12-01_22h59m24s&fdr=0.5&sort=-fdr_msm
"group","datasetName","datasetId","formula","adduct","chemMod","ion","mz","msm","fdr","rhoSpatial","rhoSpectral","rhoChaos","moleculeNames","moleculeIds","minIntensity","maxIntensity","totalIntensity","isomers","isobars","offSample","rawOffSampleProb","isobarIons"
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C25H50","M+H","","C25H50+H+","351.398528035","0.000017996981","0.5","0.000019719166332526988","0.9187896976231589","0.9933333333333333","C25:1 Highly branched isoprenoid, C25 Monocyclic highly branched isoprenoid, 10Z-Pentacosene, 11Z-Pentacosene, 9Z-Pentacosene, 5Z-Pentacosene, 7Z-Pentacosene, 1-Pentacosene, 7-Pentacosene, 9-Pentacosene","LMPR0105010012, LMPR0105020004, LMFA11000068, LMFA11000073, LMFA11000114, LMFA11000082, LMFA11000097, LMFA11000326, LMFA11000522, LMFA11000564","0","177131.90625","14938834","10","0","false","0.001281336764805019",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C15H16O2","M+H","","C15H16O2+H+","229.122306187","0.00009007791","0.5","0.00009508171485530038","0.9501641409759884","0.9970631424375918","Cacalol","LMPR0103300001","0","187345.484375","29019466","1","0","false","0.001450015464797616",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C45H79O8P","M+Na","","C45H79O8P+Na+","801.5404771709999","0.00015182004","0.5","0.0003716068932238915","0.42009077775602766","0.9725281803542674","PA(20:5(5Z,8Z,11Z,14Z,17Z)/22:0), PA(22:1(11Z)/20:4(5Z,8Z,11Z,14Z)), PA(20:1(11Z)/22:4(7Z,10Z,13Z,16Z)), PA(20:3(8Z,11Z,14Z)/22:2(13Z,16Z)), PA(20:4(5Z,8Z,11Z,14Z)/22:1(11Z)), PA(22:0/20:5(5Z,8Z,11Z,14Z,17Z)), PA(22:2(13Z,16Z)/20:3(8Z,11Z,14Z)), PA(22:4(7Z,10Z,13Z,16Z)/20:1(11Z))","LMGP10010672, LMGP10010747, LMGP10010554, LMGP10010615, LMGP10010643, LMGP10010719, LMGP10010777, LMGP10010806","0","1470249.75","1408125184","8","1","false","0.000009482008863415103","C42H83O9P+K+"
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C6H10O2","M+H","","C6H10O2+H+","115.075355995","0.00015497672","0.5","0.00016284580787175807","0.9656937397821047","0.985486018641811","2,5-Hexanedione, 2,2-dimethyl-3-butenoic acid, 3-methyl-4-pentenoic acid, 3-methyl-2Z-pentenoic acid, 4-Methyl-2-pentenoic acid, gamma-caprolactone, Isohydrosorbic acid, 2Z-Hexenoic acid, cis-hex-3-enoic acid, 2-Methyl-4-pentenoic acid, Hexane-2,3-dione, 4-hydroxyhexenal, Adipaldehyde, Ethyl crotonate, Methyl 4-pentenoate, 2-Methyl-2-pentenoic acid, 3,4-Hexanedione, 4-methyl-4-pentenoic acid, 3-isopropyl acrylic acid, 3-Methyl-3Z-Pentenoic Acid, trimethyl acrylic acid, Pyroterebic acid, Hydrosorbic acid, gamma-hexenoic acid, delta-hexenoic acid","LMFA12000081, LMFA01020099, LMFA01020113, LMFA01020114, LMFA01030985, LMFA07040010, LMFA01030008, LMFA01030791, LMFA01030779, LMFA01030972, LMFA12000247, LMFA06000016, LMFA06000008, LMFA07010875, LMFA07010954, LMFA01030971, LMFA12000016, LMFA01020098, LMFA01020112, LMFA01020115, LMFA01020116, LMFA01020031, LMFA01030009, LMFA01030010, LMFA01030011","0","207274.5625","88637280","25","0","false","0.00001218516717926832",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C8H10O","M+H","","C8H10O+H+","123.08044137499999","0.00017717917","0.5","0.0001859234903494754","0.9667870633678327","0.9857064017660044","2,4,6-octatrienal","LMFA06000036","0","197117.21875","73354672","1","0","false","0.00004978793003829196",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C4H6O3","M+Na","","C4H6O3+Na+","125.02091473499999","0.00018561211","0.5","0.0001913006546393217","0.9765071863819316","0.9936064556176288","3-methyl pyruvic acid, 4-hydroxy-crotonic acid, 2-methyl-3-oxo-propanoic acid, 3-hydroxybut-2-enoic acid, (S)-Methylmalonic acid semialdehyde, Acetoacetic acid, Succinic acid semialdehyde","LMFA01060002, LMFA01050398, LMFA01060193, LMFA01030978, LMFA01060190, LMFA01060003, LMFA06000118","0","228949.125","65057504","7","0","false","0.000007852265298424754",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C10H8O3","M+Na","","C10H8O3+Na+","199.03656479899996","0.00019483069","0.5","0.00020254950537760858","0.968347361076606","0.9933333333333333","10-hydroxy-2E,8Z-Decadiene-4,6-diynoic acid, 10-hydroxy-2E,8E-Decadiene-4,6-diynoic acid, 10-hydroxy-2Z,8Z-Decadiene-4,6-diynoic acid, 10-hydroxy-8E-Decene-2,4,6-triynoic acid, 8,9-Epoxy-2Z-decene-4,6-diynoic acid","LMFA01030708, LMFA01030707, LMFA01030709, LMFA01030714, LMFA01070027","0","169064.625","26824264","5","0","false","0.00010379916056990623",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C6H10O7","M+H","","C6H10O7+H+","195.04992909499998","0.00021128815","0.5","0.00021688723387460043","0.9830966278899189","0.9909344490934449","D-tagaturonic acid","LMFA05000654","0","168801.734375","30584218","1","0","false","0.000006675454642390832",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C24H42O4","M+H","","C24H42O4+H+","395.31558625900004","0.00024526624","0.5","0.0002679225605195221","0.9215809325847539","0.9933333333333333","Petromyzonol, 5beta-Cholane-3alpha,7alpha,12alpha,24-tetrol, 5beta-Cholane-3alpha,7alpha,23,24-tetrol","LMST04010301, LMST04010302, LMST04010303","0","231056.703125","40364912","3","0","false","0.00005412689279182814",""
"Pacific Northwest National Laboratory","20201130_jl_lungmap_agarose_1","2020-12-01_22h59m24s","C19H28O3","M+Na","","C19H28O3+Na+","327.193065439","0.00028336252","0.5","0.0003019969177836851","0.9438332189366458","0.9941333333333333","6beta-hydroxytestosterone, 16alpha-Hydroxydehydroepiandrosterone, 3a,16-Dihydroxyandrostenone, 7a-Hydroxydehydroepiandrosterone, 4-Hydroxytestosterone, 3beta,6alpha-dihydroxy-5alpha-androst-9(11)-en-17-one, 17-hydroxy-androstan-1,3-dione, 7alpha-Hydroxytestosterone, 17beta,19-dihydroxyandrost-4-en-3-one, 11-Ketoetiocholanolone, 16-Oxoandrostenediol, 3a,16a-Dihydroxyandrostenone, 3a,16b-Dihydroxyandrostenone, 7b-Hydroxydehydroepiandrosterone","LMST02020054, LMST02020064, LMST02020092, LMST02020101, LMST02020102, LMST02020109, LMST02020112, LMST02020068, LMST02020070, LMST02020087, LMST02020088, LMST02020090, LMST02020091, LMST02020106","0","178508.96875","16881352","14","1","false","0.00006614782614633441","C16H32O4+K+"
